"parcode","trial","rt","choice","face_val_tot","house_val_tot","face_mult","house_mult","face_bin","house_bin","face_bin_val","house_bin_val"
150,59,9250.17145601,-1,-0.54,-0.42,1,1,2,3,-0.72,-0.375
150,60,4766.89313645,-1,-0.72,0.42,1,1,2,7,-0.72,0.39
150,61,4816.91393843,-1,0.27,-0.24,0.5,1,7,3,0.39,-0.375
150,62,4400.07001197,1,0.6,0.72,3,2,8,8,0.72,0.72
150,63,4950.03711367,-1,-2.88,-0.24,3,3,0,3,0,-0.375
150,64,4516.87856589,1,-0.084,9.2,0.1,10,4,99,-0.1,99
150,66,4833.64789845,1,1,-0.54,1,1,9,2,1.52,-0.72
150,67,3416.87471707,-1,0.44,-0.2,0.5,10,7,4,0.39,-0.1
150,68,3733.39662513,-1,-0.074,-0.52,0.1,1,4,2,-0.1,-0.72
150,69,3400.04398658,1,0.4,-0.64,0.5,2,7,2,0.39,-0.72
150,70,3633.55919219,-1,0.12,-2.4,2,3,6,1,0.12,-1.42
150,71,5533.57806976,-1,2.46,-3,3,10,9,0,1.52,0
150,72,8950.00668963,-1,-0.62,-0.44,1,1,2,3,-0.72,-0.375
150,74,5066.7199393,-1,-0.084,0.076,0.1,0.1,4,6,-0.1,0.12
150,75,3083.40771341,-1,-0.48,-1.16,1,2,3,1,-0.375,-1.42
150,76,4100.07092835,-1,-8.6,-0.04,10,2,0,5,0,0
150,77,2833.56835606,1,1,-0.74,1,1,9,2,1.52,-0.72
150,78,4066.91128091,1,-0.24,0.21,1,0.5,4,6,-0.1,0.12
150,79,7200.15981789,1,2,0.72,10,2,9,8,1.52,0.72
150,82,3000.21846666,1,-0.4,7.4,10,10,3,99,-0.375,99
150,83,9116.65753334,-1,-0.09,0.25,0.1,0.5,4,7,-0.1,0.39
150,89,7766.87407559,-1,-0.42,-0.28,1,1,3,3,-0.375,-0.375
150,90,4433.39790807,1,-2,0.13,10,0.5,1,6,-1.42,0.12
150,91,5733.3790305,1,0.8,0.13,1,0.5,8,6,0.72,0.12
150,94,3116.86903547,1,0.26,0.48,1,1,7,7,0.39,0.39
150,95,5166.87957392,1,0.096,0.5,0.1,1,6,7,0.12,0.39
150,97,2683.57852795,-1,-0.48,-8,3,10,3,0,-0.375,0
150,98,5066.86289567,1,0.48,-0.016,0.5,0.1,7,5,0.39,0
150,99,3100.23294558,-1,-1.68,0.6,2,1,1,8,-1.42,0.72
150,100,7733.36620108,1,0.2,1.26,10,3,6,9,0.12,1.52
150,1,4716.89139531,-1,0.94,-1.96,1,2,9,1,1.52,-1.42
150,2,10933.4970611,1,0.62,-0.12,1,1,8,4,0.72,-0.1
150,3,2133.57990253,-1,-0.52,0.38,1,1,3,7,-0.375,0.39
150,4,1533.41678565,-1,-0.098,-0.3,0.1,3,4,3,-0.1,-0.375
150,5,3416.74349044,1,0.64,-7.6,1,10,8,0,0.72,0
150,6,4783.5684477,1,1.74,0.08,3,0.1,9,6,1.52,0.12
150,7,4333.56634,-1,-0.2,-0.84,1,1,4,2,-0.1,-0.72
150,8,3316.75723625,1,7.8,0.88,10,1,99,8,99,0.72
